Tree,Linearisation
PhrUtt NoPConj (UttS (UseCl TPastTemp PPos (PredVP (UsePron (ProDrop it7_Pron)) (ComplV2 kh_V2 (RelNP (RelNP (DetCN (DetNum NumPl) (UseN mbali_9_10_N)) (UseRCl TPresTemp PPos (RelVP IdRP (CopNPAssoc (DetCN (DetNum NumPl) (UseN thi_11_10_N)))))) (UseRCl TPresTemp PPos (RelVP IdRP (CopAP (PositA de_A))))))))) NoVoc,sikhe izimbali ezinezinti ezinde
PhrUtt NoPConj (UttS (UseCl TPastTemp PPos (PredVP (UsePron (ProDrop we_Pron)) (AdvVP (ComplV2 thath_V2 (DetCN (DetNum NumSg) (UseN khefu_5_6_N))) (LocAdvNPAdv (LocAdvAdv (LocNPAdv (RelNP (DetCN (DetNum NumSg) (UseN ndawo_9_10_N)) (UseRCl TPresTemp PPos (RelVPShort IdRP (UseVStative vulek_V)))))) (DetCN (DetNum NumSg) (UseN hlathi_5_6_N))))))) NoVoc,sithathe ikhefu endaweni evulekile ehlathini
PhrUtt NoPConj (UttS (UseCl TPresTemp PPos (PredVP (UsePron (ProDrop they_Pron)) (AdvVP (AdvVP (UseVStative hlal_V) phezu_Adv) (KwaNPAdv (DetCN (DetNum NumSg) (PossNP (PossNP (UseN qu_7_8_N) (DetCN (DetNum NumSg) (UseN nye_7_8_N))) (RelNP (DetCN (DetNum NumPl) (UseN hlahla_7_8_N)) (UseRCl TPresTemp PPos (RelVPShort IdRP (UseVStative genciw_V))))))))))) NoVoc,bahlale phezu kwesiqu sesinye sezihlahla ezigenciwe
"ChunkPhr (PlusChunk (S_Chunker (S_Chunk (UseCl TRemPastTemp PPos (PredVP (UsePron (ProDrop it7_Pron)) (AdvVP (UseV hlal_V) (LocAdvNPAdv (InstrNPAdv (Deverb15 PPos (UseV thul_V))) (DetCN (DetNum NumPl) (UseN nzi_6_N)))))))) (PlusChunk (Imp_Chunker (Imp_Sg_Pos_Chunk (ImpVP (ComplV2 es_V2 (UsePron (ProDrop they_Pron)))))) (PlusChunk (Phr_Chunker (Phr_Chunk (PhrUtt NoPConj (UttS (UseCl TRemPastTemp PPos (PredVP (UsePron (ProDrop we_Pron)) (ComplV2 buk_V2 (DetCN (DetNum NumPl) (UseN lwane_7_8_N)))))) (VocNP (DetCN (DetNum NumPl) (UseN za_7_8_N)))))) (OneChunk (Symb_Chunker (Symb_Chunk (MkSymb ""kophuza"")))))))",sahlala ngokuthula emanzini bese sabuka izilwane ziza kophuza
PhrUtt NoPConj (UttS (UseCl TPastTemp PPos (PredVP (UsePron (ProDrop it7_Pron)) (ComplVS bon_VS (UseCl TPresTemp PPos (PredVP (DetCN (DetNum NumSg) (UseN ngwe_9_10_N)) (ComplV2 hudul_V2 (RelNP (DetCN (DetNum NumSg) (UseN nyamazane_9_10_N)) (UseRCl TPastTemp PPos (RelVPShort IdRP (ComplV2 bulal_V2 (UsePron (ProDrop it9_Pron))))))))))))) NoVoc,sibone ingwe ihudula inyamazane eyibulele
"ChunkPhr (PlusChunk (Adv_Chunker (Adv_Chunk (KuNPAdv (DetCN (DetNum NumSg) (UseN nyama_3_N))))) (PlusChunk (Adv_Chunker (Adv_Chunk kakhulu_Adv)) (PlusChunk (Adv_Chunker (Adv_Chunk phandle_Adv)) (PlusChunk (Symb_Chunker (Symb_Chunk (MkSymb ""njengoba""))) (PlusChunk (N_Chunker (N_Sg_Chunk nyanga_9_10_N)) (OneChunk (Imp_Chunker (Imp_Sg_Pos_Chunk (ImpVP (ComplV2 ethwes_V2 (UsePron (ProDrop it9_Pron))))))))))))",kumnyama kakhulu phandle njengoba inyanga yethwese
"ChunkPhr (PlusChunk (Symb_Chunker (Symb_Chunk (MkSymb ""bekushisa""))) (PlusChunk (Adv_Chunker (Adv_Chunk kakhulu_Adv)) (PlusChunk (Symb_Chunker (Symb_Chunk (MkSymb ""kangangoba""))) (PlusChunk (Symb_Chunker (Symb_Chunk (MkSymb ""upulastiki""))) (PlusChunk (S_Chunker (S_Chunk (UseCl TPastTemp PPos (PredVP (UsePron (ProDrop it3_Pron)) (ComplV2 qal_V2 (Deverb15 PPos (UseV ncibilik_V))))))) (OneChunk (NP_Chunker (NP_Loc_Chunk (DetCN (DetNum NumSg) (UseN anga_6_N))))))))))",bekushisa kakhulu kangangoba upulastiki uqale ukuncibilika elangeni
"ChunkPhr (PlusChunk (S_Chunker (S_Chunk (UseCl TFutTemp PPos (PredVP (UsePron (ProDrop it17_Pron)) (AdvVP (UseV jabulis_V) kakhulu_Adv))))) (PlusChunk (NP_Chunker (NP_Nom_Chunk (Deverb15 PPos (ComplVS bon_VS ?)))) (PlusChunk (N_Chunker (N_Sg_Chunk ambane_7_8_N)) (PlusChunk (Symb_Chunker (Symb_Chunk (MkSymb ""esimazenge""))) (OneChunk (NP_Chunker (NP_Gen_Chunk (ProDrop they6_Pron) (DetCN (DetNum NumSg) (UseN ndle_9_N)))))))))",kuzojabulisa kakhulu ukubona isambane esimazenge endle
"ChunkPhr (PlusChunk (Symb_Chunker (Symb_Chunk (MkSymb ""sekusondele""))) (PlusChunk (CN_Chunker (CN_Sg_Chunk (PossNP (UseN khathi_7_8_N) (Deverb15 PPos (UseV b_V))))) (OneChunk (S_Chunker (S_Chunk (UseCl TPresTemp PPos (PredVP (DetCN (DetNum NumPl) (UseN nkukhu_9_10_N)) (UseVStative chamisel_V))))))))",sekusondele isikhathi sokuba izinkukhu zichamisele
PhrUtt NoPConj (UttS (UseCl TPresTemp PPos (PredVP (UsePron (ProDrop it17_Pron)) (AdvVP (AdvVP (CopAP (PositA hle_A)) phandle_Adv) namuhla_Adv)))) NoVoc,kuhle phandle namuhla
