Tree,Linearisation
PhrUtt NoPConj (UttS (UseCl TRemPastTemp PPos (PredVP (RelNP (DetCN (DetNum NumSg) (UseN human_N)) (UseRCl TFutTemp PPos (RelVP IdRP (CopNPAssoc (RelNP (DetCN (DetNum NumSg) (UseN umbrella_N)) (UseRCl TPresTemp PPos (RelVP IdRP (CopAP (PositA big_A))))))))) (ComplV2 sell_1_V2 (DetCN (DetNum NumSg) (UseN cheese_N)))))) NoVoc,umuntu ozoba nesambulela esikhulu wathengisa ushizi
PhrUtt NoPConj (UttS (UseCl TPresTemp PPos (PredVP (DetCN (DetNum NumSg) (PredetN (DemPredet this_Quant) human_N)) (ComplV2 enjoy_V2 (DetCN (DetNum NumSg) (UseN pumpkin_N)))))) NoVoc,lo muntu ujabulela ithanga
PhrUtt NoPConj (UttS (UseCl TFutTemp PNeg (PredVP (RelNP (DetCN (DetNum NumSg) (UseN human_N)) (UseRCl TPresTemp PPos (RelVP IdRP (UseV laugh_V)))) (ComplV2 cook_V2 (DetCN (DetNum NumSg) (UseN vegetable_N)))))) NoVoc,umuntu ohlekayo akazukupheka umfino
PhrUtt NoPConj (UttS (UseCl TFutTemp PNeg (PredVP (RelNP (DetCN (DetNum NumSg) (EmphCN (UseN human_N))) (UseRCl TFutTemp PNeg (RelVP IdRP (CopNPAssoc (RelNP (DetCN (DetNum NumSg) (UseN umbrella_N)) (UseRCl TPresTemp PNeg (RelVP IdRP (CopAP (PositA big_A))))))))) (ComplV2 eat_V2 (DetCN (DetNum NumSg) (UseN watermelon_N)))))) NoVoc,yena umuntu ongezukuba nasambulela engesikhulu akazukudla ikhabe
PhrUtt NoPConj (UttS (UseCl TPresTemp PNeg (PredVP (RelNP (DetCN (DetNum NumSg) (UseN girl_N)) (UseRCl TPresTemp PNeg (RelVP IdRP (CopNPAssoc (RelNP (DetCN (DetNum NumSg) (UseN sweater_N)) (UseRCl TPresTemp PPos (RelVP IdRP (CopAP (PositA colourful_R))))))))) (ComplV2 sell_1_V2 (DetCN (DetNum NumSg) (UseN coffee_N)))))) NoVoc,intombazana engenajezi elimakhwezikhwezi ayithengisi ikhofi
PhrUtt NoPConj (UttS (UseCl TRemPastTemp PNeg (PredVP (DetCN (DetNum NumSg) (PossNP (UseN aunt_paternal_N) (DetCN (DetNum NumSg) (EmphCN (UseN woman_N))))) (ComplV2 order_V2 (DetCN (DetNum NumSg) (UseN banana_N)))))) NoVoc,ubabekazi wayo inkosikazi aka-odanga ubhanana
PhrUtt NoPConj (UttS (UseCl TFutTemp PNeg (PredVP (DetCN (DetNum NumSg) (PossNP (UseN brother_3_N) (DetCN (DetNum NumSg) (EmphCN (UseN woman_N))))) (ComplV2 want_V2 (DetCN (DetNum NumSg) (UseN pumpkin_N)))))) NoVoc,umfowabo wayo inkosikazi akazukufuna ithanga
PhrUtt NoPConj (UttS (UseCl TRemPastTemp PNeg (PredVP (RelNP (DetCN (DetNum NumSg) (UseN boy_N)) (UseRCl TPresTemp PNeg (RelVP IdRP (CopNPAssoc (RelNP (DetCN (DetNum NumSg) (UseN sweater_N)) (UseRCl TPresTemp PNeg (RelVP IdRP (CopAP (PositA colourful_R))))))))) (ComplV2 prepare_V2 (DetCN (DetNum NumSg) (UseN fish_N)))))) NoVoc,umfana ongenajezi elingemakhwezikhwezi akalungisanga inhlanzi
PhrUtt NoPConj (UttS (UseCl TRemFutTemp PNeg (PredVP (DetCN (DetNum NumSg) (EmphCN (UseN girl_N))) (ComplV2 prepare_V2 (DetCN (DetNum NumSg) (UseN meat_N)))))) NoVoc,yona intombazana ayiyukulungisa inyama
PhrUtt NoPConj (UttS (UseCl TRemFutTemp PNeg (PredVP (RelNP (DetCN (DetNum NumSg) (EmphCN (UseN human_N))) (UseRCl TFutTemp PNeg (RelVP IdRP (CopNPAssoc (RelNP (DetCN (DetNum NumSg) (UseN sweater_N)) (UseRCl TPresTemp PPos (RelVP IdRP (CopAP (PositA colourful_R))))))))) (ComplV2 cut_V2 (DetCN (DetNum NumSg) (UseN orange_N)))))) NoVoc,yena umuntu ongezukuba najezi elimakhwezikhwezi akayukusika iwolintshi
PhrUtt NoPConj (UttS (UseCl TFutTemp PPos (PredVP (RelNP (DetCN (DetNum NumSg) (UseN human_N)) (UseRCl TPresTemp PPos (RelVP IdRP (UseV laugh_V)))) (ComplV2 grow_V2 (DetCN (DetNum NumSg) (UseN mango_N)))))) NoVoc,umuntu ohlekayo uzomilisa umongo
PhrUtt NoPConj (UttS (UseCl TRemFutTemp PPos (PredVP (DetCN (DetNum NumSg) (PredetN (DemPredet that_Quant) boy_N)) (ComplV2 enjoy_V2 (DetCN (DetNum NumSg) (UseN coffee_N)))))) NoVoc,lowo mfana uyojabulela ikhofi
PhrUtt NoPConj (UttS (UseCl TRemFutTemp PNeg (PredVP (DetCN (DetNum NumSg) (PossNP (UseN brother_3_N) (DetCN (DetNum NumPl) (EmphCN (UseN man_N))))) (ComplV2 like_V2 (DetCN (DetNum NumSg) (UseN watermelon_N)))))) NoVoc,umfowabo wawo amadoda akayukuthanda ikhabe
PhrUtt NoPConj (UttS (UseCl TFutTemp PNeg (PredVP (RelNP (DetCN (DetNum NumSg) (EmphCN (UseN girl_N))) (UseRCl TPresTemp PNeg (RelVP IdRP (CopNPAssoc (RelNP (DetCN (DetNum NumSg) (UseN umbrella_N)) (UseRCl TPresTemp PPos (RelVP IdRP (CopAP (PositA big_A))))))))) (ComplV2 order_V2 (DetCN (DetNum NumSg) (UseN fish_N)))))) NoVoc,yona intombazana engenasambulela esikhulu ayizuku-oda inhlanzi
PhrUtt NoPConj (UttS (UseCl TFutTemp PPos (PredVP (RelNP (DetCN (DetNum NumSg) (EmphCN (UseN woman_N))) (UseRCl TPastTemp PPos (RelVP IdRP (CopNPAssoc (RelNP (DetCN (DetNum NumSg) (UseN sweater_N)) (UseRCl TPresTemp PPos (RelVP IdRP (CopAP (PositA colourful_R))))))))) (ComplV2 eat_V2 (DetCN (DetNum NumSg) (UseN porridge_N)))))) NoVoc,yona inkosikazi ebinejezi elimakhwezikhwezi izokudla iphalishi
PhrUtt NoPConj (UttS (UseCl TRemFutTemp PNeg (PredVP (RelNP (DetCN (DetNum NumSg) (EmphCN (UseN human_N))) (UseRCl TPresTemp PNeg (RelVP IdRP (UseV cough_V)))) (ComplV2 like_V2 (DetCN (DetNum NumSg) (UseN milk_N)))))) NoVoc,yena umuntu ongakhwehleli akayukuthanda ubisi
PhrUtt NoPConj (UttS (UseCl TPresTemp PNeg (PredVP (RelNP (DetCN (DetNum NumSg) (EmphCN (UseN boy_N))) (UseRCl TPastTemp PNeg (RelVP IdRP (CopNPAssoc (RelNP (DetCN (DetNum NumSg) (UseN umbrella_N)) (UseRCl TPresTemp PPos (RelVP IdRP (CopAP (PositA big_A))))))))) (ComplV2 grow_V2 (DetCN (DetNum NumSg) (UseN avocado_N)))))) NoVoc,yena umfana obengenasambulela esikhulu akamilisi ukwatapheya
PhrUtt NoPConj (UttS (UseCl TRemFutTemp PNeg (PredVP (RelNP (DetCN (DetNum NumSg) (UseN human_N)) (UseRCl TFutTemp PNeg (RelVP IdRP (CopNPAssoc (RelNP (DetCN (DetNum NumSg) (UseN sweater_N)) (UseRCl TPresTemp PPos (RelVP IdRP (CopAP (PositA colourful_R))))))))) (ComplV2 sell_1_V2 (DetCN (DetNum NumSg) (UseN lettuce_N)))))) NoVoc,umuntu ongezukuba najezi elimakhwezikhwezi akayukuthengisa uletisi
PhrUtt NoPConj (UttS (UseCl TFutTemp PNeg (PredVP (DetCN (DetNum NumSg) (PredetN (DemPredet yonder_Quant) boy_N)) (ComplV2 eat_V2 (DetCN (DetNum NumSg) (UseN bread_N)))))) NoVoc,loya mfana akazukudla isinkwa
PhrUtt NoPConj (UttS (UseCl TRemFutTemp PNeg (PredVP (RelNP (DetCN (DetNum NumSg) (EmphCN (UseN girl_N))) (UseRCl TPresTemp PNeg (RelVP IdRP (UseV laugh_V)))) (ComplV2 sell_1_V2 (DetCN (DetNum NumSg) (UseN lettuce_N)))))) NoVoc,yona intombazana engahleki ayiyukuthengisa uletisi
PhrUtt NoPConj (UttS (UseCl TPresTemp PNeg (PredVP (DetCN (DetNum NumSg) (PredetN (DemPredet that_Quant) girl_N)) (ComplV2 cook_V2 (DetCN (DetNum NumSg) (UseN pumpkin_N)))))) NoVoc,leyo ntombazana ayipheki ithanga
