PhrUtt NoPConj (UttS (UseCl TPresTemp PPos (PredVP (DetCN (DetNum NumSg) (UseN doda_9_10_N )) (UseV hamb_V)))) NoVoc,indoda iyahamba
RelNP (DetCN (DetNum NumSg) (UseN doda_9_10_N )) (UseRCl TPresTemp PPos (RelVP IdRP (UseV hamb_V))),indoda ehambayo
PhrUtt NoPConj (UttS (UseCl TPresTemp PNeg (PredVP (DetCN (DetNum NumSg) (UseN doda_9_10_N )) (UseV hamb_V)))) NoVoc,indoda ayihambi
RelNP (DetCN (DetNum NumSg) (UseN doda_9_10_N )) (UseRCl TPresTemp PNeg (RelVP IdRP (UseV hamb_V))),indoda engahambi
PhrUtt NoPConj (UttS (UseCl TFutTemp PPos (PredVP (DetCN (DetNum NumSg) (UseN doda_9_10_N )) (UseV hamb_V)))) NoVoc,indoda izohamba
RelNP (DetCN (DetNum NumSg) (UseN doda_9_10_N )) (UseRCl TFutTemp PPos (RelVP IdRP (UseV hamb_V))),indoda ezohamba
PhrUtt NoPConj (UttS (UseCl TFutTemp PNeg (PredVP (DetCN (DetNum NumSg) (UseN doda_9_10_N )) (UseV hamb_V)))) NoVoc,indoda ayizukuhamba
RelNP (DetCN (DetNum NumSg) (UseN doda_9_10_N )) (UseRCl TFutTemp PNeg (RelVP IdRP (UseV hamb_V))),indoda engazukuhamba
PhrUtt NoPConj (UttS (UseCl TPresTemp PPos (PredVP (DetCN (DetNum NumSg) (UseN doda_9_10_N )) (UseV eq_V)))) NoVoc,indoda iyeqa
RelNP (DetCN (DetNum NumSg) (UseN doda_9_10_N )) (UseRCl TPresTemp PPos (RelVP IdRP (UseV eq_V))),indoda eqayo
PhrUtt NoPConj (UttS (UseCl TPresTemp PNeg (PredVP (DetCN (DetNum NumSg) (UseN doda_9_10_N )) (UseV eq_V)))) NoVoc,indoda ayeqi
RelNP (DetCN (DetNum NumSg) (UseN doda_9_10_N )) (UseRCl TPresTemp PNeg (RelVP IdRP (UseV eq_V))),indoda engeqi
PhrUtt NoPConj (UttS (UseCl TFutTemp PPos (PredVP (DetCN (DetNum NumSg) (UseN doda_9_10_N )) (UseV eq_V)))) NoVoc,indoda izokweqa
RelNP (DetCN (DetNum NumSg) (UseN doda_9_10_N )) (UseRCl TFutTemp PPos (RelVP IdRP (UseV eq_V))),indoda ezokweqa
PhrUtt NoPConj (UttS (UseCl TFutTemp PNeg (PredVP (DetCN (DetNum NumSg) (UseN doda_9_10_N )) (UseV eq_V)))) NoVoc,indoda ayizukweqa
RelNP (DetCN (DetNum NumSg) (UseN doda_9_10_N )) (UseRCl TFutTemp PNeg (RelVP IdRP (UseV eq_V))),indoda engazukweqa
PhrUtt NoPConj (UttS (UseCl TPresTemp PPos (PredVP (DetCN (DetNum NumSg) (UseN doda_9_10_N )) (UseV f_V)))) NoVoc,indoda iyafa
RelNP (DetCN (DetNum NumSg) (UseN doda_9_10_N )) (UseRCl TPresTemp PPos (RelVP IdRP (UseV f_V))),indoda efayo
PhrUtt NoPConj (UttS (UseCl TPresTemp PNeg (PredVP (DetCN (DetNum NumSg) (UseN doda_9_10_N )) (UseV f_V)))) NoVoc,indoda ayifi
RelNP (DetCN (DetNum NumSg) (UseN doda_9_10_N )) (UseRCl TPresTemp PNeg (RelVP IdRP (UseV f_V))),indoda engafi
PhrUtt NoPConj (UttS (UseCl TFutTemp PPos (PredVP (DetCN (DetNum NumSg) (UseN doda_9_10_N )) (UseV f_V)))) NoVoc,indoda izokufa
RelNP (DetCN (DetNum NumSg) (UseN doda_9_10_N )) (UseRCl TFutTemp PPos (RelVP IdRP (UseV f_V))),indoda ezokufa
PhrUtt NoPConj (UttS (UseCl TFutTemp PNeg (PredVP (DetCN (DetNum NumSg) (UseN doda_9_10_N )) (UseV f_V)))) NoVoc,indoda ayizukufa
RelNP (DetCN (DetNum NumSg) (UseN doda_9_10_N )) (UseRCl TFutTemp PNeg (RelVP IdRP (UseV f_V))),indoda engazukufa
PhrUtt NoPConj (UttS (UseCl TPresTemp PPos (PredVP (DetCN (DetNum NumSg ) (UseN doda_9_10_N )) (CopNP (DetCN (DetNum NumSg) (UseN lwane_7_8_N )))))) NoVoc,indoda iyisilwane
RelNP (DetCN (DetNum NumSg) (UseN doda_9_10_N )) (UseRCl TPresTemp PPos (RelVP IdRP (CopNP (DetCN (DetNum NumSg) (UseN lwane_7_8_N ))))),indoda eyisilwane
PhrUtt NoPConj (UttS (UseCl TPresTemp PNeg (PredVP (DetCN (DetNum NumSg ) (UseN doda_9_10_N )) (CopNP (DetCN (DetNum NumSg) (UseN lwane_7_8_N )))))) NoVoc,indoda ayiyisilwane
RelNP (DetCN (DetNum NumSg) (UseN doda_9_10_N )) (UseRCl TPresTemp PNeg (RelVP IdRP (CopNP (DetCN (DetNum NumSg) (UseN lwane_7_8_N ))))),indoda engeyisilwane
PhrUtt NoPConj (UttS (UseCl TFutTemp PPos (PredVP (DetCN (DetNum NumSg ) (UseN doda_9_10_N )) (CopNP (DetCN (DetNum NumSg) (UseN lwane_7_8_N )))))) NoVoc,indoda izoba yisilwane
RelNP (DetCN (DetNum NumSg) (UseN doda_9_10_N )) (UseRCl TFutTemp PPos (RelVP IdRP (CopNP (DetCN (DetNum NumSg) (UseN lwane_7_8_N ))))),indoda ezoba yisilwane
PhrUtt NoPConj (UttS (UseCl TFutTemp PNeg (PredVP (DetCN (DetNum NumSg ) (UseN doda_9_10_N )) (CopNP (DetCN (DetNum NumSg) (UseN lwane_7_8_N )))))) NoVoc,indoda ayizukuba yisilwane
RelNP (DetCN (DetNum NumSg) (UseN doda_9_10_N )) (UseRCl TFutTemp PNeg (RelVP IdRP (CopNP (DetCN (DetNum NumSg) (UseN lwane_7_8_N ))))),indoda engezukuba yisilwane
PhrUtt NoPConj (UttS (UseCl TPresTemp PPos (PredVP (DetCN (DetNum NumSg) (UseN doda_9_10_N )) (CopAP (PositA de_A ))))) NoVoc,indoda yinde
RelNP (DetCN (DetNum NumSg) (UseN doda_9_10_N )) (UseRCl TPresTemp PPos (RelVP IdRP (CopAP (PositA de_A)))),indoda ende
PhrUtt NoPConj (UttS (UseCl TPresTemp PNeg (PredVP (DetCN (DetNum NumSg) (UseN doda_9_10_N )) (CopAP (PositA de_A ))))) NoVoc,indoda ayinde
