PhrUtt NoPConj (UttS (UseCl TPresTemp PPos (PredVP (DetCN (DetNum NumPl) (UseN tombi_9_10_N )) (UseV hamb_V)))) NoVoc,izintombi ziyahamba
RelNP (DetCN (DetNum NumPl) (UseN tombi_9_10_N )) (UseRCl TPresTemp PPos (RelVP IdRP (UseV hamb_V))),izintombi ezihambayo
PhrUtt NoPConj (UttS (UseCl TPresTemp PNeg (PredVP (DetCN (DetNum NumPl) (UseN tombi_9_10_N )) (UseV hamb_V)))) NoVoc,izintombi azihambi
RelNP (DetCN (DetNum NumPl) (UseN tombi_9_10_N )) (UseRCl TPresTemp PNeg (RelVP IdRP (UseV hamb_V))),izintombi ezingahambi
PhrUtt NoPConj (UttS (UseCl TFutTemp PPos (PredVP (DetCN (DetNum NumPl) (UseN tombi_9_10_N )) (UseV hamb_V)))) NoVoc,izintombi zizohamba
RelNP (DetCN (DetNum NumPl) (UseN tombi_9_10_N )) (UseRCl TFutTemp PPos (RelVP IdRP (UseV hamb_V))),izintombi ezizohamba
PhrUtt NoPConj (UttS (UseCl TFutTemp PNeg (PredVP (DetCN (DetNum NumPl) (UseN tombi_9_10_N )) (UseV hamb_V)))) NoVoc,izintombi azizukuhamba
RelNP (DetCN (DetNum NumPl) (UseN tombi_9_10_N )) (UseRCl TFutTemp PNeg (RelVP IdRP (UseV hamb_V))),izintombi ezingazukuhamba
PhrUtt NoPConj (UttS (UseCl TPresTemp PPos (PredVP (DetCN (DetNum NumPl) (UseN tombi_9_10_N )) (UseV eq_V)))) NoVoc,izintombi ziyeqa
RelNP (DetCN (DetNum NumPl) (UseN tombi_9_10_N )) (UseRCl TPresTemp PPos (RelVP IdRP (UseV eq_V))),izintombi ezeqayo
PhrUtt NoPConj (UttS (UseCl TPresTemp PNeg (PredVP (DetCN (DetNum NumPl) (UseN tombi_9_10_N )) (UseV eq_V)))) NoVoc,izintombi azeqi
RelNP (DetCN (DetNum NumPl) (UseN tombi_9_10_N )) (UseRCl TPresTemp PNeg (RelVP IdRP (UseV eq_V))),izintombi ezingeqi
PhrUtt NoPConj (UttS (UseCl TFutTemp PPos (PredVP (DetCN (DetNum NumPl) (UseN tombi_9_10_N )) (UseV eq_V)))) NoVoc,izintombi zizokweqa
RelNP (DetCN (DetNum NumPl) (UseN tombi_9_10_N )) (UseRCl TFutTemp PPos (RelVP IdRP (UseV eq_V))),izintombi ezizokweqa
PhrUtt NoPConj (UttS (UseCl TFutTemp PNeg (PredVP (DetCN (DetNum NumPl) (UseN tombi_9_10_N )) (UseV eq_V)))) NoVoc,izintombi azizukweqa
RelNP (DetCN (DetNum NumPl) (UseN tombi_9_10_N )) (UseRCl TFutTemp PNeg (RelVP IdRP (UseV eq_V))),izintombi ezingazukweqa
PhrUtt NoPConj (UttS (UseCl TPresTemp PPos (PredVP (DetCN (DetNum NumPl) (UseN tombi_9_10_N )) (UseV f_V)))) NoVoc,izintombi ziyafa
RelNP (DetCN (DetNum NumPl) (UseN tombi_9_10_N )) (UseRCl TPresTemp PPos (RelVP IdRP (UseV f_V))),izintombi ezifayo
PhrUtt NoPConj (UttS (UseCl TPresTemp PNeg (PredVP (DetCN (DetNum NumPl) (UseN tombi_9_10_N )) (UseV f_V)))) NoVoc,izintombi azifi
RelNP (DetCN (DetNum NumPl) (UseN tombi_9_10_N )) (UseRCl TPresTemp PNeg (RelVP IdRP (UseV f_V))),izintombi ezingafi
PhrUtt NoPConj (UttS (UseCl TFutTemp PPos (PredVP (DetCN (DetNum NumPl) (UseN tombi_9_10_N )) (UseV f_V)))) NoVoc,izintombi zizokufa
RelNP (DetCN (DetNum NumPl) (UseN tombi_9_10_N )) (UseRCl TFutTemp PPos (RelVP IdRP (UseV f_V))),izintombi ezizokufa
PhrUtt NoPConj (UttS (UseCl TFutTemp PNeg (PredVP (DetCN (DetNum NumPl) (UseN tombi_9_10_N )) (UseV f_V)))) NoVoc,izintombi azizukufa
RelNP (DetCN (DetNum NumPl) (UseN tombi_9_10_N )) (UseRCl TFutTemp PNeg (RelVP IdRP (UseV f_V))),izintombi ezingazukufa
PhrUtt NoPConj (UttS (UseCl TPresTemp PPos (PredVP (DetCN (DetNum NumPl ) (UseN tombi_9_10_N )) (CopNP (DetCN (DetNum NumPl) (UseN fundi_1_2_N )))))) NoVoc,izintombi zingabafundi
