PhrUtt NoPConj (UttS (UseCl TPresTemp PPos (PredVP (DetCN (DetNum NumPl) (UseN khova_7_8_N )) (UseV hamb_V)))) NoVoc,izikhova ziyahamba
RelNP (DetCN (DetNum NumPl) (UseN khova_7_8_N )) (UseRCl TPresTemp PPos (RelVP IdRP (UseV hamb_V))),izikhova ezihambayo
PhrUtt NoPConj (UttS (UseCl TPresTemp PNeg (PredVP (DetCN (DetNum NumPl) (UseN khova_7_8_N )) (UseV hamb_V)))) NoVoc,izikhova azihambi
RelNP (DetCN (DetNum NumPl) (UseN khova_7_8_N )) (UseRCl TPresTemp PNeg (RelVP IdRP (UseV hamb_V))),izikhova ezingahambi
PhrUtt NoPConj (UttS (UseCl TFutTemp PPos (PredVP (DetCN (DetNum NumPl) (UseN khova_7_8_N )) (UseV hamb_V)))) NoVoc,izikhova zizohamba
RelNP (DetCN (DetNum NumPl) (UseN khova_7_8_N )) (UseRCl TFutTemp PPos (RelVP IdRP (UseV hamb_V))),izikhova ezizohamba
PhrUtt NoPConj (UttS (UseCl TFutTemp PNeg (PredVP (DetCN (DetNum NumPl) (UseN khova_7_8_N )) (UseV hamb_V)))) NoVoc,izikhova azizukuhamba
RelNP (DetCN (DetNum NumPl) (UseN khova_7_8_N )) (UseRCl TFutTemp PNeg (RelVP IdRP (UseV hamb_V))),izikhova ezingazukuhamba
PhrUtt NoPConj (UttS (UseCl TPresTemp PPos (PredVP (DetCN (DetNum NumPl) (UseN khova_7_8_N )) (UseV eq_V)))) NoVoc,izikhova ziyeqa
RelNP (DetCN (DetNum NumPl) (UseN khova_7_8_N )) (UseRCl TPresTemp PPos (RelVP IdRP (UseV eq_V))),izikhova ezeqayo
PhrUtt NoPConj (UttS (UseCl TPresTemp PNeg (PredVP (DetCN (DetNum NumPl) (UseN khova_7_8_N )) (UseV eq_V)))) NoVoc,izikhova azeqi
RelNP (DetCN (DetNum NumPl) (UseN khova_7_8_N )) (UseRCl TPresTemp PNeg (RelVP IdRP (UseV eq_V))),izikhova ezingeqi
PhrUtt NoPConj (UttS (UseCl TFutTemp PPos (PredVP (DetCN (DetNum NumPl) (UseN khova_7_8_N )) (UseV eq_V)))) NoVoc,izikhova zizokweqa
RelNP (DetCN (DetNum NumPl) (UseN khova_7_8_N )) (UseRCl TFutTemp PPos (RelVP IdRP (UseV eq_V))),izikhova ezizokweqa
PhrUtt NoPConj (UttS (UseCl TFutTemp PNeg (PredVP (DetCN (DetNum NumPl) (UseN khova_7_8_N )) (UseV eq_V)))) NoVoc,izikhova azizukweqa
RelNP (DetCN (DetNum NumPl) (UseN khova_7_8_N )) (UseRCl TFutTemp PNeg (RelVP IdRP (UseV eq_V))),izikhova ezingazukweqa
PhrUtt NoPConj (UttS (UseCl TPresTemp PPos (PredVP (DetCN (DetNum NumPl) (UseN khova_7_8_N )) (UseV f_V)))) NoVoc,izikhova ziyafa
RelNP (DetCN (DetNum NumPl) (UseN khova_7_8_N )) (UseRCl TPresTemp PPos (RelVP IdRP (UseV f_V))),izikhova ezifayo
PhrUtt NoPConj (UttS (UseCl TPresTemp PNeg (PredVP (DetCN (DetNum NumPl) (UseN khova_7_8_N )) (UseV f_V)))) NoVoc,izikhova azifi
RelNP (DetCN (DetNum NumPl) (UseN khova_7_8_N )) (UseRCl TPresTemp PNeg (RelVP IdRP (UseV f_V))),izikhova ezingafi
PhrUtt NoPConj (UttS (UseCl TFutTemp PPos (PredVP (DetCN (DetNum NumPl) (UseN khova_7_8_N )) (UseV f_V)))) NoVoc,izikhova zizokufa
RelNP (DetCN (DetNum NumPl) (UseN khova_7_8_N )) (UseRCl TFutTemp PPos (RelVP IdRP (UseV f_V))),izikhova ezizokufa
PhrUtt NoPConj (UttS (UseCl TFutTemp PNeg (PredVP (DetCN (DetNum NumPl) (UseN khova_7_8_N )) (UseV f_V)))) NoVoc,izikhova azizukufa
RelNP (DetCN (DetNum NumPl) (UseN khova_7_8_N )) (UseRCl TFutTemp PNeg (RelVP IdRP (UseV f_V))),izikhova ezingazukufa
PhrUtt NoPConj (UttS (UseCl TPresTemp PPos (PredVP (DetCN (DetNum NumPl ) (UseN khova_7_8_N )) (CopNP (DetCN (DetNum NumPl) (UseN fundi_1_2_N )))))) NoVoc,izikhova zingabafundi
RelNP (DetCN (DetNum NumPl) (UseN khova_7_8_N )) (UseRCl TPresTemp PPos (RelVP IdRP (CopNP (DetCN (DetNum NumPl) (UseN fundi_1_2_N ))))),izikhova ezingabafundi
PhrUtt NoPConj (UttS (UseCl TPresTemp PNeg (PredVP (DetCN (DetNum NumPl ) (UseN khova_7_8_N )) (CopNP (DetCN (DetNum NumPl) (UseN fundi_1_2_N )))))) NoVoc,izikhova azingabafundi
RelNP (DetCN (DetNum NumPl) (UseN khova_7_8_N )) (UseRCl TPresTemp PNeg (RelVP IdRP (CopNP (DetCN (DetNum NumPl) (UseN fundi_1_2_N ))))),izikhova ezingengabafundi
PhrUtt NoPConj (UttS (UseCl TFutTemp PPos (PredVP (DetCN (DetNum NumPl ) (UseN khova_7_8_N )) (CopNP (DetCN (DetNum NumPl) (UseN fundi_1_2_N )))))) NoVoc,izikhova zizoba ngabafundi
RelNP (DetCN (DetNum NumPl) (UseN khova_7_8_N )) (UseRCl TFutTemp PPos (RelVP IdRP (CopNP (DetCN (DetNum NumPl) (UseN fundi_1_2_N ))))),izikhova ezizoba ngabafundi
PhrUtt NoPConj (UttS (UseCl TFutTemp PNeg (PredVP (DetCN (DetNum NumPl ) (UseN khova_7_8_N )) (CopNP (DetCN (DetNum NumPl) (UseN fundi_1_2_N )))))) NoVoc,izikhova azizukuba ngabafundi
