PhrUtt NoPConj (SubjunctS (UseCl TPresTemp PPos (PredVP (DetCN (DetNum NumSg) (UseN fana_1_2_N)) (UseV hamb_V)))) NoVoc,umfana ahambe
PhrUtt NoPConj (SubjunctS (UseCl TPresTemp PNeg (PredVP (DetCN (DetNum NumSg) (UseN fana_1_2_N)) (UseV hamb_V)))) NoVoc,umfana angahambi
PhrUtt NoPConj (SubjunctS (UseCl TPresTemp PPos (PredVP (DetCN (DetNum NumSg) (UseN fana_1_2_N)) (UseV eq_V)))) NoVoc,umfana eqe
PhrUtt NoPConj (SubjunctS (UseCl TPresTemp PNeg (PredVP (DetCN (DetNum NumSg) (UseN fana_1_2_N)) (UseV eq_V)))) NoVoc,umfana angeqi
PhrUtt NoPConj (SubjunctS (UseCl TPresTemp PPos (PredVP (DetCN (DetNum NumSg) (UseN fana_1_2_N)) (UseV f_V)))) NoVoc,umfana afe
PhrUtt NoPConj (SubjunctS (UseCl TPresTemp PNeg (PredVP (DetCN (DetNum NumSg) (UseN fana_1_2_N)) (UseV f_V)))) NoVoc,umfana angafi
PhrUtt NoPConj (SubjunctS (UseCl TPresTemp PPos (PredVP (DetCN (DetNum NumSg) (UseN fana_1_2_N)) (ComplV2 bon_V2 (UsePron (ProDrop it5_Pron)))))) NoVoc,umfana alibone
PhrUtt NoPConj (SubjunctS (UseCl TPresTemp PNeg (PredVP (DetCN (DetNum NumSg) (UseN fana_1_2_N)) (ComplV2 bon_V2 (UsePron (ProDrop it5_Pron)))))) NoVoc,umfana angaliboni
PhrUtt NoPConj (SubjunctS (UseCl TPresTemp PPos (PredVP (DetCN (DetNum NumSg) (UseN fana_1_2_N)) (ComplV2 eq_V2 (UsePron (ProDrop it5_Pron)))))) NoVoc,umfana aleqe
PhrUtt NoPConj (SubjunctS (UseCl TPresTemp PNeg (PredVP (DetCN (DetNum NumSg) (UseN fana_1_2_N)) (ComplV2 eq_V2 (UsePron (ProDrop it5_Pron)))))) NoVoc,umfana angaleqi
PhrUtt NoPConj (SubjunctS (UseCl TPresTemp PPos (PredVP (DetCN (DetNum NumSg) (UseN fana_1_2_N)) (CopNP (DetCN (DetNum NumSg) (UseN fundi_1_2_N)))))) NoVoc,umfana abe ngumfundi
PhrUtt NoPConj (SubjunctS (UseCl TPresTemp PNeg (PredVP (DetCN (DetNum NumSg) (UseN fana_1_2_N)) (CopNP (DetCN (DetNum NumSg) (UseN fundi_1_2_N)))))) NoVoc,umfana angabi ngumfundi
PhrUtt NoPConj (SubjunctS (UseCl TPresTemp PPos (PredVP (DetCN (DetNum NumSg) (UseN fana_1_2_N)) (CopAP (PositA khulu_A))))) NoVoc,umfana abemkhulu
PhrUtt NoPConj (SubjunctS (UseCl TPresTemp PNeg (PredVP (DetCN (DetNum NumSg) (UseN fana_1_2_N)) (CopAP (PositA khulu_A))))) NoVoc,umfana angabi mkhulu
PhrUtt NoPConj (SubjunctS (UseCl TPresTemp PPos (PredVP (DetCN (DetNum NumSg) (UseN fana_1_2_N)) (CopAP (PositA qotho_R))))) NoVoc,umfana abeqotho
PhrUtt NoPConj (SubjunctS (UseCl TPresTemp PNeg (PredVP (DetCN (DetNum NumSg) (UseN fana_1_2_N)) (CopAP (PositA qotho_R))))) NoVoc,umfana angabi qotho
PhrUtt NoPConj (SubjunctS (UseCl TPresTemp PPos (PredVP (DetCN (DetNum NumSg) (UseN fana_1_2_N)) (CopNPAssoc (DetCN (DetNum NumSg) (UseN moto_9_10_N)))))) NoVoc,umfana abe nemoto
